Host,Address,Transport,Port,Service
braintreegateway.com,204.109.13.100,tcp,443,https
braintreegateway.com,204.109.13.100,tcp,8443,https
braintreepayments.com,52.84.121.25,tcp,80,http
braintreepayments.com,52.84.121.25,tcp,443,http
braintreepayments.com,52.84.121.25,tcp,443,https
braintreepayments.com,54.192.17.143,tcp,80,http
braintreepayments.com,54.192.17.143,tcp,443,http
braintreepayments.com,54.192.17.143,tcp,443,https
paydiant.com,216.87.148.114,tcp,80,http
paypal.com,64.4.250.36,tcp,80,http
paypal.com,64.4.250.36,tcp,443,http
paypal.com,64.4.250.36,tcp,443,https
paypal.com,64.4.250.37,tcp,80,http
paypal.com,64.4.250.37,tcp,443,http
paypal.com,64.4.250.37,tcp,443,https
paypal.me,64.4.250.40,tcp,80,http
paypal.me,64.4.250.40,tcp,443,http
paypal.me,64.4.250.40,tcp,443,https
paypal.me,64.4.250.41,tcp,80,http
paypal.me,64.4.250.41,tcp,443,http
paypal.me,64.4.250.41,tcp,443,https
paypalobjects.com,64.4.250.13,tcp,80,http
paypalobjects.com,64.4.250.13,tcp,443,https
paypalobjects.com,64.4.250.14,tcp,80,http
paypalobjects.com,64.4.250.14,tcp,443,https
paypalobjects.com,64.4.250.19,tcp,80,http
paypalobjects.com,64.4.250.19,tcp,443,https
paypalobjects.com,64.4.250.20,tcp,80,http
paypalobjects.com,64.4.250.20,tcp,443,https
py.pl,66.211.169.14,tcp,80,http
py.pl,66.211.169.14,tcp,443,https
py.pl,173.0.84.32,tcp,80,http
py.pl,173.0.84.32,tcp,443,https
py.pl,173.0.88.32,tcp,80,http
py.pl,173.0.88.32,tcp,443,https
venmo.com,52.222.157.79,tcp,80,http
venmo.com,52.222.157.79,tcp,443,http
venmo.com,52.222.157.79,tcp,443,https
venmo.com,52.222.157.131,tcp,80,http
venmo.com,52.222.157.131,tcp,443,http
venmo.com,52.222.157.131,tcp,443,https
venmo.com,52.222.157.164,tcp,80,http
venmo.com,52.222.157.164,tcp,443,http
venmo.com,52.222.157.164,tcp,443,https
venmo.com,52.222.157.202,tcp,80,http
venmo.com,52.222.157.202,tcp,443,http
venmo.com,52.222.157.202,tcp,443,https
www.braintreegateway.com,204.109.13.100,tcp,443,https
www.braintreegateway.com,204.109.13.100,tcp,8443,https
www.braintreepayments.com,52.85.255.35,tcp,80,http
www.braintreepayments.com,52.85.255.35,tcp,443,http
www.braintreepayments.com,52.85.255.35,tcp,443,https
www.braintreepayments.com,52.85.255.94,tcp,80,http
www.braintreepayments.com,52.85.255.94,tcp,443,http
www.braintreepayments.com,52.85.255.94,tcp,443,https
www.braintreepayments.com,52.85.255.153,tcp,80,http
www.braintreepayments.com,52.85.255.153,tcp,443,http
www.braintreepayments.com,52.85.255.153,tcp,443,https
www.braintreepayments.com,52.85.255.157,tcp,80,http
www.braintreepayments.com,52.85.255.157,tcp,443,http
www.braintreepayments.com,52.85.255.157,tcp,443,https
www.paydiant.com,104.20.66.88,tcp,80,http
www.paydiant.com,104.20.66.88,tcp,443,http
www.paydiant.com,104.20.66.88,tcp,443,https
www.paydiant.com,104.20.66.88,tcp,8080,http
www.paydiant.com,104.20.66.88,tcp,8443,https
www.paydiant.com,104.20.67.88,tcp,80,http
www.paydiant.com,104.20.67.88,tcp,443,http
www.paydiant.com,104.20.67.88,tcp,443,https
www.paydiant.com,104.20.67.88,tcp,8080,http
www.paydiant.com,104.20.67.88,tcp,8443,https
www.paydiant.com,2606:4700:10::6814:4258,tcp,80,http
www.paydiant.com,2606:4700:10::6814:4258,tcp,443,http
www.paydiant.com,2606:4700:10::6814:4258,tcp,443,https
www.paydiant.com,2606:4700:10::6814:4258,tcp,8080,http
www.paydiant.com,2606:4700:10::6814:4258,tcp,8443,https
www.paydiant.com,2606:4700:10::6814:4358,tcp,80,http
www.paydiant.com,2606:4700:10::6814:4358,tcp,443,http
www.paydiant.com,2606:4700:10::6814:4358,tcp,443,https
www.paydiant.com,2606:4700:10::6814:4358,tcp,8080,http
www.paydiant.com,2606:4700:10::6814:4358,tcp,8443,https
www.paypal.com,88.221.166.79,tcp,80,http
www.paypal.com,88.221.166.79,tcp,443,https
www.venmo.com,34.227.6.5,tcp,80,http
www.venmo.com,34.227.6.5,tcp,443,https
www.venmo.com,52.0.188.153,tcp,80,http
www.venmo.com,52.0.188.153,tcp,443,https
www.venmo.com,52.4.70.154,tcp,80,http
www.venmo.com,52.4.70.154,tcp,443,https
www.venmo.com,52.204.182.249,tcp,80,http
www.venmo.com,52.204.182.249,tcp,443,https
www.xoom.com,205.189.102.141,tcp,80,http
www.xoom.com,205.189.102.141,tcp,443,https
xoom.com,205.189.102.149,tcp,80,http
xoom.com,205.189.102.149,tcp,443,https
