Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
braintreegateway.com,204.109.13.100,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=3014267/C=US/ST=California/L=San Jose/O=PayPal, Inc./OU=Braintree Production/CN=www.braintreegateway.com","/C=US/O=DigiCert Inc/CN=DigiCert Global CA G2","Sep  7 00:00:00 2018 GMT","Sep  6 12:00:00 2020 GMT"
braintreegateway.com,204.109.13.100,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert Global CA G2","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root G2","Aug  1 12:00:00 2013 GMT","Aug  1 12:00:00 2028 GMT"
braintreegateway.com,204.109.13.100,tcp,443,https,2,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root G2","/C=US/O=VeriSign, Inc./OU=VeriSign Trust Network/OU=(c) 2006 VeriSign, Inc. - For authorized use only/CN=VeriSign Class 3 Public Primary Certification Authority - G5","Nov  6 00:00:00 2017 GMT","Nov  5 23:59:59 2022 GMT"
braintreegateway.com,204.109.13.100,tcp,8443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=3014267/C=US/ST=California/L=San Jose/O=PayPal, Inc./OU=Braintree Production/CN=www.braintreegateway.com","/C=US/O=DigiCert Inc/CN=DigiCert Global CA G2","Sep  7 00:00:00 2018 GMT","Sep  6 12:00:00 2020 GMT"
braintreegateway.com,204.109.13.100,tcp,8443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert Global CA G2","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root G2","Aug  1 12:00:00 2013 GMT","Aug  1 12:00:00 2028 GMT"
braintreegateway.com,204.109.13.100,tcp,8443,https,2,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root G2","/C=US/O=VeriSign, Inc./OU=VeriSign Trust Network/OU=(c) 2006 VeriSign, Inc. - For authorized use only/CN=VeriSign Class 3 Public Primary Certification Authority - G5","Nov  6 00:00:00 2017 GMT","Nov  5 23:59:59 2022 GMT"
braintreepayments.com,52.84.121.25,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=3014267/C=US/ST=California/L=San Jose/O=PayPal, Inc./OU=Braintree Production/CN=braintreepayments.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jan 24 00:00:00 2018 GMT","Mar 25 12:00:00 2020 GMT"
braintreepayments.com,52.84.121.25,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
braintreepayments.com,54.192.17.143,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=3014267/C=US/ST=California/L=San Jose/O=PayPal, Inc./OU=Braintree Production/CN=braintreepayments.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jan 24 00:00:00 2018 GMT","Mar 25 12:00:00 2020 GMT"
braintreepayments.com,54.192.17.143,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
paypal.com,64.4.250.36,tcp,443,https,0,"/C=US/ST=California/L=San Jose/O=PayPal, Inc./OU=PayPal Production/CN=paypal.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Oct 22 00:00:00 2018 GMT","Nov 18 12:00:00 2020 GMT"
paypal.com,64.4.250.36,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
paypal.com,64.4.250.37,tcp,443,https,0,"/C=US/ST=California/L=San Jose/O=PayPal, Inc./OU=PayPal Production/CN=paypal.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Oct 22 00:00:00 2018 GMT","Nov 18 12:00:00 2020 GMT"
paypal.com,64.4.250.37,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
paypal.me,64.4.250.40,tcp,443,https,0,"/C=US/ST=California/L=San Jose/O=PayPal, Inc./OU=PayPal Production/CN=paypal.me","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Apr  7 00:00:00 2017 GMT","Jun 20 12:00:00 2019 GMT"
paypal.me,64.4.250.40,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
paypal.me,64.4.250.41,tcp,443,https,0,"/C=US/ST=California/L=San Jose/O=PayPal, Inc./OU=PayPal Production/CN=paypal.me","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Apr  7 00:00:00 2017 GMT","Jun 20 12:00:00 2019 GMT"
paypal.me,64.4.250.41,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
