Host,Address,Transport,Port,Service,Component,Version
braintree.tools,208.44.152.151,tcp,443,http,nginx/nginx,
braintree.tools,208.44.152.151,tcp,443,https,nginx/nginx,
braintreepayments.com,52.84.121.25,tcp,80,http,amazon/cloudfront,
braintreepayments.com,52.84.121.25,tcp,443,http,amazon/cloudfront,
braintreepayments.com,54.192.17.143,tcp,80,http,amazon/cloudfront,
braintreepayments.com,54.192.17.143,tcp,443,http,amazon/cloudfront,
py.pl,66.211.169.14,tcp,443,https,apache/apache,
py.pl,173.0.84.32,tcp,443,https,apache/apache,
py.pl,173.0.88.32,tcp,443,https,apache/apache,
venmo.com,13.33.47.15,tcp,80,http,amazon/cloudfront,
venmo.com,13.33.47.15,tcp,443,http,amazon/cloudfront,
venmo.com,13.33.47.15,tcp,443,https,nginx/nginx,
venmo.com,13.33.47.170,tcp,80,http,amazon/cloudfront,
venmo.com,13.33.47.170,tcp,443,http,amazon/cloudfront,
venmo.com,13.33.47.170,tcp,443,https,nginx/nginx,
venmo.com,13.33.47.237,tcp,80,http,amazon/cloudfront,
venmo.com,13.33.47.237,tcp,443,http,amazon/cloudfront,
venmo.com,13.33.47.237,tcp,443,https,nginx/nginx,
venmo.com,13.33.47.238,tcp,80,http,amazon/cloudfront,
venmo.com,13.33.47.238,tcp,443,http,amazon/cloudfront,
venmo.com,13.33.47.238,tcp,443,https,nginx/nginx,
www.braintreepayments.com,13.33.47.7,tcp,80,http,amazon/cloudfront,
www.braintreepayments.com,13.33.47.7,tcp,443,http,amazon/cloudfront,
www.braintreepayments.com,13.33.47.7,tcp,443,https,nginx/nginx,
www.braintreepayments.com,13.33.47.47,tcp,80,http,amazon/cloudfront,
www.braintreepayments.com,13.33.47.47,tcp,443,http,amazon/cloudfront,
www.braintreepayments.com,13.33.47.47,tcp,443,https,nginx/nginx,
www.braintreepayments.com,13.33.47.83,tcp,80,http,amazon/cloudfront,
www.braintreepayments.com,13.33.47.83,tcp,443,http,amazon/cloudfront,
www.braintreepayments.com,13.33.47.83,tcp,443,https,nginx/nginx,
www.braintreepayments.com,13.33.47.89,tcp,80,http,amazon/cloudfront,
www.braintreepayments.com,13.33.47.89,tcp,443,http,amazon/cloudfront,
www.braintreepayments.com,13.33.47.89,tcp,443,https,nginx/nginx,
www.venmo.com,3.215.203.12,tcp,80,http,nginx/nginx,
www.venmo.com,3.215.203.12,tcp,443,https,nginx/nginx,
www.venmo.com,34.196.69.212,tcp,80,http,nginx/nginx,
www.venmo.com,34.196.69.212,tcp,443,https,nginx/nginx,
www.venmo.com,52.205.8.225,tcp,80,http,nginx/nginx,
www.venmo.com,52.205.8.225,tcp,443,https,nginx/nginx,
www.venmo.com,54.210.220.210,tcp,80,http,nginx/nginx,
www.venmo.com,54.210.220.210,tcp,443,https,nginx/nginx,
