Host,Address,Transport,Port,Service
account.magento.com,3.216.33.72,tcp,80,http
account.magento.com,3.216.33.72,tcp,443,http
account.magento.com,3.216.33.72,tcp,443,https
account.magento.com,52.87.70.25,tcp,80,http
account.magento.com,52.87.70.25,tcp,443,http
account.magento.com,52.87.70.25,tcp,443,https
account.magento.com,54.85.200.233,tcp,80,http
account.magento.com,54.85.200.233,tcp,443,http
account.magento.com,54.85.200.233,tcp,443,https
account.magento.com,54.165.95.133,tcp,80,http
account.magento.com,54.165.95.133,tcp,443,http
account.magento.com,54.165.95.133,tcp,443,https
imagine.magento.com,52.2.156.55,tcp,80,http
imagine.magento.com,52.2.156.55,tcp,443,http
imagine.magento.com,52.2.156.55,tcp,443,https
imagine.magento.com,52.23.16.40,tcp,80,http
imagine.magento.com,52.23.16.40,tcp,443,http
imagine.magento.com,52.23.16.40,tcp,443,https
magento.com,3.216.33.72,tcp,80,http
magento.com,3.216.33.72,tcp,443,http
magento.com,3.216.33.72,tcp,443,https
magento.com,52.87.70.25,tcp,80,http
magento.com,52.87.70.25,tcp,443,http
magento.com,52.87.70.25,tcp,443,https
magento.com,54.85.200.233,tcp,80,http
magento.com,54.85.200.233,tcp,443,http
magento.com,54.85.200.233,tcp,443,https
magento.com,54.165.95.133,tcp,80,http
magento.com,54.165.95.133,tcp,443,http
magento.com,54.165.95.133,tcp,443,https
magentocommerce.com,3.216.33.72,tcp,80,http
magentocommerce.com,3.216.33.72,tcp,443,http
magentocommerce.com,3.216.33.72,tcp,443,https
magentocommerce.com,52.87.70.25,tcp,80,http
magentocommerce.com,52.87.70.25,tcp,443,http
magentocommerce.com,52.87.70.25,tcp,443,https
magentocommerce.com,54.85.200.233,tcp,80,http
magentocommerce.com,54.85.200.233,tcp,443,http
magentocommerce.com,54.85.200.233,tcp,443,https
magentocommerce.com,54.165.95.133,tcp,80,http
magentocommerce.com,54.165.95.133,tcp,443,http
magentocommerce.com,54.165.95.133,tcp,443,https
magentolive.com,52.2.156.55,tcp,80,http
magentolive.com,52.2.156.55,tcp,443,http
magentolive.com,52.2.156.55,tcp,443,https
magentolive.com,52.23.16.40,tcp,80,http
magentolive.com,52.23.16.40,tcp,443,http
magentolive.com,52.23.16.40,tcp,443,https
marketplace.magento.com,151.101.1.124,tcp,80,http
marketplace.magento.com,151.101.1.124,tcp,443,https
marketplace.magento.com,151.101.65.124,tcp,80,http
marketplace.magento.com,151.101.65.124,tcp,443,https
marketplace.magento.com,151.101.129.124,tcp,80,http
marketplace.magento.com,151.101.129.124,tcp,443,https
marketplace.magento.com,151.101.193.124,tcp,80,http
marketplace.magento.com,151.101.193.124,tcp,443,https
repo.magento.com,34.199.113.183,tcp,80,http
repo.magento.com,34.199.113.183,tcp,443,http
repo.magento.com,34.199.113.183,tcp,443,https
repo.magento.com,34.202.44.159,tcp,80,http
repo.magento.com,34.202.44.159,tcp,443,http
repo.magento.com,34.202.44.159,tcp,443,https
repo.magento.com,54.172.137.57,tcp,80,http
repo.magento.com,54.172.137.57,tcp,443,http
repo.magento.com,54.172.137.57,tcp,443,https
u.magento.com,3.216.33.72,tcp,80,http
u.magento.com,3.216.33.72,tcp,443,http
u.magento.com,3.216.33.72,tcp,443,https
u.magento.com,52.87.70.25,tcp,80,http
u.magento.com,52.87.70.25,tcp,443,http
u.magento.com,52.87.70.25,tcp,443,https
u.magento.com,54.85.200.233,tcp,80,http
u.magento.com,54.85.200.233,tcp,443,http
u.magento.com,54.85.200.233,tcp,443,https
u.magento.com,54.165.95.133,tcp,80,http
u.magento.com,54.165.95.133,tcp,443,http
u.magento.com,54.165.95.133,tcp,443,https
