Host,Address,Transport,Port,Service
account.magento.com,3.91.140.51,tcp,80,http
account.magento.com,3.91.140.51,tcp,443,http
account.magento.com,3.91.140.51,tcp,443,https
account.magento.com,52.72.95.172,tcp,80,http
account.magento.com,52.72.95.172,tcp,443,http
account.magento.com,52.72.95.172,tcp,443,https
account.magento.com,54.175.128.241,tcp,80,http
account.magento.com,54.175.128.241,tcp,443,http
account.magento.com,54.175.128.241,tcp,443,https
account.magento.com,54.210.170.107,tcp,80,http
account.magento.com,54.210.170.107,tcp,443,http
account.magento.com,54.210.170.107,tcp,443,https
imagine.magento.com,52.44.165.90,tcp,80,http
imagine.magento.com,52.44.165.90,tcp,443,http
imagine.magento.com,52.44.165.90,tcp,443,https
imagine.magento.com,52.204.216.53,tcp,80,http
imagine.magento.com,52.204.216.53,tcp,443,http
imagine.magento.com,52.204.216.53,tcp,443,https
magento.com,3.91.140.51,tcp,80,http
magento.com,3.91.140.51,tcp,443,http
magento.com,3.91.140.51,tcp,443,https
magento.com,52.72.95.172,tcp,80,http
magento.com,52.72.95.172,tcp,443,http
magento.com,52.72.95.172,tcp,443,https
magento.com,54.175.128.241,tcp,80,http
magento.com,54.175.128.241,tcp,443,http
magento.com,54.175.128.241,tcp,443,https
magento.com,54.210.170.107,tcp,80,http
magento.com,54.210.170.107,tcp,443,http
magento.com,54.210.170.107,tcp,443,https
magentocommerce.com,3.91.140.51,tcp,80,http
magentocommerce.com,3.91.140.51,tcp,443,http
magentocommerce.com,3.91.140.51,tcp,443,https
magentocommerce.com,52.72.95.172,tcp,80,http
magentocommerce.com,52.72.95.172,tcp,443,http
magentocommerce.com,52.72.95.172,tcp,443,https
magentocommerce.com,54.175.128.241,tcp,80,http
magentocommerce.com,54.175.128.241,tcp,443,http
magentocommerce.com,54.175.128.241,tcp,443,https
magentocommerce.com,54.210.170.107,tcp,80,http
magentocommerce.com,54.210.170.107,tcp,443,http
magentocommerce.com,54.210.170.107,tcp,443,https
magentolive.com,52.44.165.90,tcp,80,http
magentolive.com,52.44.165.90,tcp,443,http
magentolive.com,52.44.165.90,tcp,443,https
magentolive.com,52.204.216.53,tcp,80,http
magentolive.com,52.204.216.53,tcp,443,http
magentolive.com,52.204.216.53,tcp,443,https
marketplace.magento.com,151.101.1.124,tcp,80,http
marketplace.magento.com,151.101.1.124,tcp,443,https
marketplace.magento.com,151.101.65.124,tcp,80,http
marketplace.magento.com,151.101.65.124,tcp,443,https
marketplace.magento.com,151.101.129.124,tcp,80,http
marketplace.magento.com,151.101.129.124,tcp,443,https
marketplace.magento.com,151.101.193.124,tcp,80,http
marketplace.magento.com,151.101.193.124,tcp,443,https
repo.magento.com,34.238.57.47,tcp,80,http
repo.magento.com,34.238.57.47,tcp,443,http
repo.magento.com,34.238.57.47,tcp,443,https
repo.magento.com,52.72.86.176,tcp,80,http
repo.magento.com,52.72.86.176,tcp,443,http
repo.magento.com,52.72.86.176,tcp,443,https
repo.magento.com,52.72.140.240,tcp,80,http
repo.magento.com,52.72.140.240,tcp,443,http
repo.magento.com,52.72.140.240,tcp,443,https
u.magento.com,3.91.140.51,tcp,80,http
u.magento.com,3.91.140.51,tcp,443,http
u.magento.com,3.91.140.51,tcp,443,https
u.magento.com,52.72.95.172,tcp,80,http
u.magento.com,52.72.95.172,tcp,443,http
u.magento.com,52.72.95.172,tcp,443,https
u.magento.com,54.175.128.241,tcp,80,http
u.magento.com,54.175.128.241,tcp,443,http
u.magento.com,54.175.128.241,tcp,443,https
u.magento.com,54.210.170.107,tcp,80,http
u.magento.com,54.210.170.107,tcp,443,http
u.magento.com,54.210.170.107,tcp,443,https
