Host,Address,Transport,Port,Service
account.magento.com,52.22.119.27,tcp,80,http
account.magento.com,52.22.119.27,tcp,443,http
account.magento.com,52.22.119.27,tcp,443,https
account.magento.com,52.87.70.25,tcp,80,http
account.magento.com,52.87.70.25,tcp,443,http
account.magento.com,52.87.70.25,tcp,443,https
account.magento.com,52.202.210.198,tcp,80,http
account.magento.com,52.202.210.198,tcp,443,http
account.magento.com,52.202.210.198,tcp,443,https
account.magento.com,54.165.95.133,tcp,80,http
account.magento.com,54.165.95.133,tcp,443,http
account.magento.com,54.165.95.133,tcp,443,https
imagine.magento.com,52.44.165.90,tcp,80,http
imagine.magento.com,52.44.165.90,tcp,443,http
imagine.magento.com,52.44.165.90,tcp,443,https
imagine.magento.com,52.204.216.53,tcp,80,http
imagine.magento.com,52.204.216.53,tcp,443,http
imagine.magento.com,52.204.216.53,tcp,443,https
magento.com,52.22.119.27,tcp,80,http
magento.com,52.22.119.27,tcp,443,http
magento.com,52.22.119.27,tcp,443,https
magento.com,52.87.70.25,tcp,80,http
magento.com,52.87.70.25,tcp,443,http
magento.com,52.87.70.25,tcp,443,https
magento.com,52.202.210.198,tcp,80,http
magento.com,52.202.210.198,tcp,443,http
magento.com,52.202.210.198,tcp,443,https
magento.com,54.165.95.133,tcp,80,http
magento.com,54.165.95.133,tcp,443,http
magento.com,54.165.95.133,tcp,443,https
magentocommerce.com,52.22.119.27,tcp,80,http
magentocommerce.com,52.22.119.27,tcp,443,http
magentocommerce.com,52.22.119.27,tcp,443,https
magentocommerce.com,52.87.70.25,tcp,80,http
magentocommerce.com,52.87.70.25,tcp,443,http
magentocommerce.com,52.87.70.25,tcp,443,https
magentocommerce.com,52.202.210.198,tcp,80,http
magentocommerce.com,52.202.210.198,tcp,443,http
magentocommerce.com,52.202.210.198,tcp,443,https
magentocommerce.com,54.165.95.133,tcp,80,http
magentocommerce.com,54.165.95.133,tcp,443,http
magentocommerce.com,54.165.95.133,tcp,443,https
magentolive.com,52.44.165.90,tcp,80,http
magentolive.com,52.44.165.90,tcp,443,http
magentolive.com,52.44.165.90,tcp,443,https
magentolive.com,52.204.216.53,tcp,80,http
magentolive.com,52.204.216.53,tcp,443,http
magentolive.com,52.204.216.53,tcp,443,https
marketplace.magento.com,151.101.1.124,tcp,80,http
marketplace.magento.com,151.101.1.124,tcp,443,https
marketplace.magento.com,151.101.65.124,tcp,80,http
marketplace.magento.com,151.101.65.124,tcp,443,https
marketplace.magento.com,151.101.129.124,tcp,80,http
marketplace.magento.com,151.101.129.124,tcp,443,https
marketplace.magento.com,151.101.193.124,tcp,80,http
marketplace.magento.com,151.101.193.124,tcp,443,https
repo.magento.com,18.214.2.204,tcp,80,http
repo.magento.com,18.214.2.204,tcp,443,http
repo.magento.com,18.214.2.204,tcp,443,https
repo.magento.com,52.20.214.246,tcp,80,http
repo.magento.com,52.20.214.246,tcp,443,http
repo.magento.com,52.20.214.246,tcp,443,https
repo.magento.com,52.71.86.21,tcp,80,http
repo.magento.com,52.71.86.21,tcp,443,http
repo.magento.com,52.71.86.21,tcp,443,https
u.magento.com,52.22.119.27,tcp,80,http
u.magento.com,52.22.119.27,tcp,443,http
u.magento.com,52.22.119.27,tcp,443,https
u.magento.com,52.87.70.25,tcp,80,http
u.magento.com,52.87.70.25,tcp,443,http
u.magento.com,52.87.70.25,tcp,443,https
u.magento.com,52.202.210.198,tcp,80,http
u.magento.com,52.202.210.198,tcp,443,http
u.magento.com,52.202.210.198,tcp,443,https
u.magento.com,54.165.95.133,tcp,80,http
u.magento.com,54.165.95.133,tcp,443,http
u.magento.com,54.165.95.133,tcp,443,https
