Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
account.magento.com,3.91.140.51,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jun 12 00:00:00 2018 GMT","Jun 12 12:00:00 2019 GMT"
account.magento.com,3.91.140.51,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
account.magento.com,52.72.95.172,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jun 12 00:00:00 2018 GMT","Jun 12 12:00:00 2019 GMT"
account.magento.com,52.72.95.172,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
account.magento.com,54.175.128.241,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jun 12 00:00:00 2018 GMT","Jun 12 12:00:00 2019 GMT"
account.magento.com,54.175.128.241,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
account.magento.com,54.210.170.107,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jun 12 00:00:00 2018 GMT","Jun 12 12:00:00 2019 GMT"
account.magento.com,54.210.170.107,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
imagine.magento.com,52.44.165.90,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=imagine.magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jan 17 00:00:00 2019 GMT","Jul  5 12:00:00 2019 GMT"
imagine.magento.com,52.44.165.90,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
imagine.magento.com,52.204.216.53,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=imagine.magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jan 17 00:00:00 2019 GMT","Jul  5 12:00:00 2019 GMT"
imagine.magento.com,52.204.216.53,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
magento.com,3.91.140.51,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jun 12 00:00:00 2018 GMT","Jun 12 12:00:00 2019 GMT"
magento.com,3.91.140.51,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
magento.com,52.72.95.172,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jun 12 00:00:00 2018 GMT","Jun 12 12:00:00 2019 GMT"
magento.com,52.72.95.172,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
magento.com,54.175.128.241,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jun 12 00:00:00 2018 GMT","Jun 12 12:00:00 2019 GMT"
magento.com,54.175.128.241,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
magento.com,54.210.170.107,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jun 12 00:00:00 2018 GMT","Jun 12 12:00:00 2019 GMT"
magento.com,54.210.170.107,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
magentocommerce.com,3.91.140.51,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jun 12 00:00:00 2018 GMT","Jun 12 12:00:00 2019 GMT"
magentocommerce.com,3.91.140.51,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
magentocommerce.com,52.72.95.172,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jun 12 00:00:00 2018 GMT","Jun 12 12:00:00 2019 GMT"
magentocommerce.com,52.72.95.172,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
magentocommerce.com,54.175.128.241,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jun 12 00:00:00 2018 GMT","Jun 12 12:00:00 2019 GMT"
magentocommerce.com,54.175.128.241,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
magentocommerce.com,54.210.170.107,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jun 12 00:00:00 2018 GMT","Jun 12 12:00:00 2019 GMT"
magentocommerce.com,54.210.170.107,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
