Host,Address,Transport,Port,Service
lifeinvader.com,104.255.105.65,tcp,80,http
lifeinvader.com,104.255.105.65,tcp,443,https
media.rockstargames.com,72.247.94.198,tcp,80,http
media.rockstargames.com,72.247.94.198,tcp,443,https
patches.rockstargames.com,87.248.202.39,tcp,80,http
patches.rockstargames.com,87.248.202.39,tcp,443,http
patches.rockstargames.com,87.248.202.39,tcp,443,https
prod.cloud.rockstargames.com,87.248.202.39,tcp,80,http
prod.cloud.rockstargames.com,87.248.202.39,tcp,443,http
prod.cloud.rockstargames.com,87.248.202.39,tcp,443,https
prod.hosted.cloud.rockstargames.com,87.248.202.39,tcp,80,http
prod.hosted.cloud.rockstargames.com,87.248.202.39,tcp,443,http
prod.hosted.cloud.rockstargames.com,87.248.202.39,tcp,443,https
prod.ros.rockstargames.com,192.81.241.100,tcp,80,http
prod.ros.rockstargames.com,192.81.241.100,tcp,443,https
prod.telemetry.ros.rockstargames.com,35.167.19.60,tcp,80,http
prod.telemetry.ros.rockstargames.com,35.167.102.3,tcp,80,http
prod.telemetry.ros.rockstargames.com,50.112.144.22,tcp,80,http
prod.telemetry.ros.rockstargames.com,52.40.235.166,tcp,80,http
rockstarnorth.com,104.255.105.97,tcp,80,http
socialclub.rockstargames.com,104.255.105.71,tcp,80,http
socialclub.rockstargames.com,104.255.105.71,tcp,443,https
support.rockstargames.com,23.62.141.47,tcp,80,http
support.rockstargames.com,23.62.141.47,tcp,443,https
www.rockstargames.com,95.101.193.82,tcp,80,http
www.rockstargames.com,95.101.193.82,tcp,443,https
