Host,Address,Transport,Port,Service,Component,Version
developer.valvesoftware.com,172.99.115.206,tcp,80,http,canonical/ubuntu,
developer.valvesoftware.com,172.99.115.206,tcp,80,http,nginx/nginx,1.4.6
developer.valvesoftware.com,172.99.115.206,tcp,443,http,nginx/nginx,
developer.valvesoftware.com,172.99.115.206,tcp,443,https,nginx/nginx,
help.steampowered.com,23.62.130.245,tcp,80,http,nginx/nginx,
help.steampowered.com,23.62.130.245,tcp,443,https,nginx/nginx,
partner.steamgames.com,23.62.130.245,tcp,80,http,apache/apache,
partner.steamgames.com,23.62.130.245,tcp,443,https,apache/apache,
partner.steamgames.com,23.62.130.245,tcp,443,https,php/php,7.0.33
partner.steampowered.com,23.62.130.245,tcp,80,http,apache/apache,
partner.steampowered.com,23.62.130.245,tcp,443,https,apache/apache,
partner.steampowered.com,23.62.130.245,tcp,443,https,php/php,7.0.33
playartifact.com,23.62.113.19,tcp,80,http,nginx/nginx,
playartifact.com,23.62.113.19,tcp,443,https,nginx/nginx,
steamcommunity.com,23.62.130.245,tcp,80,http,akamai/ghost,
steamcommunity.com,23.62.130.245,tcp,443,https,nginx/nginx,
store.steampowered.com,23.38.33.153,tcp,80,http,nginx/nginx,
store.steampowered.com,23.38.33.153,tcp,443,https,nginx/nginx,
storefront.steampowered.com,23.62.113.19,tcp,80,http,apache/apache,
storefront.steampowered.com,23.62.113.19,tcp,443,https,apache/apache,
support.steampowered.com,23.62.130.245,tcp,80,http,canonical/ubuntu,
support.steampowered.com,23.62.130.245,tcp,80,http,nginx/nginx,1.4.6
support.steampowered.com,23.62.130.245,tcp,443,https,nginx/nginx,
wiki.teamfortress.com,35.227.220.185,tcp,80,http,apache/apache,2.4.25
wiki.teamfortress.com,35.227.220.185,tcp,80,http,debian/debian,
wiki.teamfortress.com,35.227.220.185,tcp,443,https,apache/apache,2.4.25
wiki.teamfortress.com,35.227.220.185,tcp,443,https,debian/debian,
www.counter-strike.net,23.62.113.19,tcp,80,http,nginx/nginx,
www.counter-strike.net,23.62.113.19,tcp,443,https,nginx/nginx,
www.dota2.com,192.30.31.139,tcp,80,http,apache/apache,
www.dota2.com,192.30.31.139,tcp,443,https,nginx/nginx,
www.teamfortress.com,23.62.113.19,tcp,80,http,nginx/nginx,
www.teamfortress.com,23.62.113.19,tcp,443,https,nginx/nginx,
www.valvesoftware.com,23.62.130.245,tcp,80,http,nginx/nginx,
www.valvesoftware.com,23.62.130.245,tcp,443,https,nginx/nginx,
