Chain,Depth,Type,Name
1,0,DNS,app.grammarly.com
2,0,DNS,admin-panel.grammarly.com
3,0,DNS,auth.grammarly.com
4,0,DNS,data.grammarly.com
5,0,DNS,dox.grammarly.com
5,0,DNS,dox-private.grammarly.com
6,0,DNS,capi.grammarly.com
7,0,DNS,subscription.grammarly.com
8,0,DNS,datareport.grammarly.com
9,0,DNS,www.grammarly.com
9,0,DNS,grammarly.com
10,0,DNS,institution.grammarly.com
11,0,DNS,gnar.grammarly.com
12,0,DNS,grammarly.net
12,0,DNS,www.grammarly.net
13,0,DNS,food.grammarly.io
14,0,DNS,irbis.grammarly.com
15,0,DNS,grammarly.ai
