Host,Address,Transport,Port,Service,Component,Version
api.vimeo.com,151.101.0.217,tcp,80,http,nginx/nginx,
api.vimeo.com,151.101.0.217,tcp,443,https,nginx/nginx,
api.vimeo.com,151.101.64.217,tcp,80,http,nginx/nginx,
api.vimeo.com,151.101.64.217,tcp,443,https,nginx/nginx,
api.vimeo.com,151.101.128.217,tcp,80,http,nginx/nginx,
api.vimeo.com,151.101.128.217,tcp,443,https,nginx/nginx,
api.vimeo.com,151.101.192.217,tcp,80,http,nginx/nginx,
api.vimeo.com,151.101.192.217,tcp,443,https,nginx/nginx,
checkout.vimeo.com,13.33.47.49,tcp,80,http,amazon/cloudfront,
checkout.vimeo.com,13.33.47.49,tcp,443,http,amazon/cloudfront,
checkout.vimeo.com,13.33.47.49,tcp,443,https,amazon/s3,
checkout.vimeo.com,13.33.47.53,tcp,80,http,amazon/cloudfront,
checkout.vimeo.com,13.33.47.53,tcp,443,http,amazon/cloudfront,
checkout.vimeo.com,13.33.47.53,tcp,443,https,amazon/s3,
checkout.vimeo.com,13.33.47.195,tcp,80,http,amazon/cloudfront,
checkout.vimeo.com,13.33.47.195,tcp,443,http,amazon/cloudfront,
checkout.vimeo.com,13.33.47.195,tcp,443,https,amazon/s3,
checkout.vimeo.com,13.33.47.226,tcp,80,http,amazon/cloudfront,
checkout.vimeo.com,13.33.47.226,tcp,443,http,amazon/cloudfront,
checkout.vimeo.com,13.33.47.226,tcp,443,https,amazon/s3,
player.vimeo.com,151.101.84.217,tcp,443,https,nginx/nginx,
vimeo.com,151.101.0.217,tcp,80,http,nginx/nginx,
vimeo.com,151.101.0.217,tcp,443,https,nginx/nginx,
vimeo.com,151.101.64.217,tcp,80,http,nginx/nginx,
vimeo.com,151.101.64.217,tcp,443,https,nginx/nginx,
vimeo.com,151.101.128.217,tcp,80,http,nginx/nginx,
vimeo.com,151.101.128.217,tcp,443,https,nginx/nginx,
vimeo.com,151.101.192.217,tcp,80,http,nginx/nginx,
vimeo.com,151.101.192.217,tcp,443,https,nginx/nginx,
vimeopro.com,184.73.186.224,tcp,80,http,apache/apache,
vimeopro.com,184.73.186.224,tcp,443,http,nginx/nginx,
vimeopro.com,184.73.186.224,tcp,443,https,nginx/nginx,
www.vimeo.com,151.101.0.217,tcp,80,http,nginx/nginx,
www.vimeo.com,151.101.0.217,tcp,443,https,nginx/nginx,
www.vimeo.com,151.101.64.217,tcp,80,http,nginx/nginx,
www.vimeo.com,151.101.64.217,tcp,443,https,nginx/nginx,
www.vimeo.com,151.101.128.217,tcp,80,http,nginx/nginx,
www.vimeo.com,151.101.128.217,tcp,443,https,nginx/nginx,
www.vimeo.com,151.101.192.217,tcp,80,http,nginx/nginx,
www.vimeo.com,151.101.192.217,tcp,443,https,nginx/nginx,
