Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
appletv.flickr.com,34.193.243.4,tcp,443,https,0,"/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=flickr.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Jan 16 00:00:00 2019 GMT","Jul 15 12:00:00 2019 GMT"
appletv.flickr.com,34.193.243.4,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
appletv.flickr.com,34.225.235.78,tcp,443,https,0,"/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=flickr.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Jan 16 00:00:00 2019 GMT","Jul 15 12:00:00 2019 GMT"
appletv.flickr.com,34.225.235.78,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
appletv.flickr.com,52.203.66.54,tcp,443,https,0,"/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=flickr.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Jan 16 00:00:00 2019 GMT","Jul 15 12:00:00 2019 GMT"
appletv.flickr.com,52.203.66.54,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
appletv.flickr.com,54.152.199.152,tcp,443,https,0,"/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=flickr.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Jan 16 00:00:00 2019 GMT","Jul 15 12:00:00 2019 GMT"
appletv.flickr.com,54.152.199.152,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
blog.flickr.com,192.0.79.32,tcp,443,https,0,"/OU=Domain Control Validated/OU=EssentialSSL Wildcard/CN=*.wordpress.com","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","Sep  6 00:00:00 2018 GMT","Sep  5 23:59:59 2020 GMT"
blog.flickr.com,192.0.79.32,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","Feb 12 00:00:00 2014 GMT","Feb 11 23:59:59 2029 GMT"
blog.flickr.com,192.0.79.32,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
blog.flickr.com,192.0.79.33,tcp,443,https,0,"/OU=Domain Control Validated/OU=EssentialSSL Wildcard/CN=*.wordpress.com","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","Sep  6 00:00:00 2018 GMT","Sep  5 23:59:59 2020 GMT"
blog.flickr.com,192.0.79.33,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Domain Validation Secure Server CA","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","Feb 12 00:00:00 2014 GMT","Feb 11 23:59:59 2029 GMT"
blog.flickr.com,192.0.79.33,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO RSA Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
bluebird.flickr.com,52.222.147.65,tcp,443,https,0,"/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=flickr.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Jan 16 00:00:00 2019 GMT","Jul 15 12:00:00 2019 GMT"
bluebird.flickr.com,52.222.147.65,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
bluebird.flickr.com,2600:9000:2047:200:1b:3d3c:2249:7a41,tcp,443,https,0,"/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=flickr.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Jan 16 00:00:00 2019 GMT","Jul 15 12:00:00 2019 GMT"
bluebird.flickr.com,2600:9000:2047:200:1b:3d3c:2249:7a41,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
bluebird.flickr.com,2600:9000:2047:2800:1b:3d3c:2249:7a41,tcp,443,https,0,"/C=US/ST=California/L=Sunnyvale/O=Oath Inc/CN=flickr.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Jan 16 00:00:00 2019 GMT","Jul 15 12:00:00 2019 GMT"
bluebird.flickr.com,2600:9000:2047:2800:1b:3d3c:2249:7a41,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
