Service ID,Name,Address,Transport,Port,Service,Certificate Chain
1,www.hackerone.com,104.16.99.52,tcp,80,http,
2,www.hackerone.com,104.16.99.52,tcp,443,http,
3,www.hackerone.com,104.16.99.52,tcp,443,https,3
4,www.hackerone.com,104.16.99.52,tcp,8080,http,
5,www.hackerone.com,104.16.99.52,tcp,8443,unknown,3
6,www.hackerone.com,104.16.100.52,tcp,80,http,
7,www.hackerone.com,104.16.100.52,tcp,443,http,
8,www.hackerone.com,104.16.100.52,tcp,443,https,3
9,www.hackerone.com,104.16.100.52,tcp,8080,http,
10,www.hackerone.com,104.16.100.52,tcp,8443,unknown,3
11,hackerone.com,104.16.99.52,tcp,80,http,
12,hackerone.com,104.16.99.52,tcp,443,http,
13,hackerone.com,104.16.99.52,tcp,443,https,3
14,hackerone.com,104.16.99.52,tcp,8080,http,
15,hackerone.com,104.16.99.52,tcp,8443,unknown,3
16,hackerone.com,104.16.100.52,tcp,80,http,
17,hackerone.com,104.16.100.52,tcp,443,http,
18,hackerone.com,104.16.100.52,tcp,443,https,3
19,hackerone.com,104.16.100.52,tcp,8080,http,
20,hackerone.com,104.16.100.52,tcp,8443,unknown,3
21,hackerone-user-content.com,104.18.106.24,tcp,80,http,
22,hackerone-user-content.com,104.18.106.24,tcp,443,http,
23,hackerone-user-content.com,104.18.106.24,tcp,443,https,2
24,hackerone-user-content.com,104.18.106.24,tcp,8080,http,
25,hackerone-user-content.com,104.18.106.24,tcp,8443,https,2
26,hackerone-user-content.com,104.18.107.24,tcp,80,http,
27,hackerone-user-content.com,104.18.107.24,tcp,443,http,
28,hackerone-user-content.com,104.18.107.24,tcp,443,https,2
29,hackerone-user-content.com,104.18.107.24,tcp,8080,http,
30,hackerone-user-content.com,104.18.107.24,tcp,8443,https,2
31,hackerone-us-west-2-production-attachments.s3-us-west-2.amazonaws.com,52.218.216.169,tcp,80,http,
32,hackerone-us-west-2-production-attachments.s3-us-west-2.amazonaws.com,52.218.216.169,tcp,443,https,4
33,hackerone-ext-content.com,104.18.110.82,tcp,80,http,
34,hackerone-ext-content.com,104.18.110.82,tcp,443,http,
35,hackerone-ext-content.com,104.18.110.82,tcp,443,https,5
36,hackerone-ext-content.com,104.18.110.82,tcp,8080,http,
37,hackerone-ext-content.com,104.18.110.82,tcp,8443,https,5
38,hackerone-ext-content.com,104.18.111.82,tcp,80,http,
39,hackerone-ext-content.com,104.18.111.82,tcp,443,http,
40,hackerone-ext-content.com,104.18.111.82,tcp,443,https,5
41,hackerone-ext-content.com,104.18.111.82,tcp,8080,http,
42,hackerone-ext-content.com,104.18.111.82,tcp,8443,https,5
43,errors.hackerone.net,104.17.90.4,tcp,80,http,
44,errors.hackerone.net,104.17.90.4,tcp,443,http,
45,errors.hackerone.net,104.17.90.4,tcp,443,https,6
46,errors.hackerone.net,104.17.90.4,tcp,8080,http,
47,errors.hackerone.net,104.17.90.4,tcp,8443,unknown,6
48,errors.hackerone.net,104.17.91.4,tcp,80,http,
49,errors.hackerone.net,104.17.91.4,tcp,443,http,
50,errors.hackerone.net,104.17.91.4,tcp,443,https,6
51,errors.hackerone.net,104.17.91.4,tcp,8080,http,
52,errors.hackerone.net,104.17.91.4,tcp,8443,unknown,6
53,ctf.hacker101.com,104.18.192.12,tcp,80,http,
54,ctf.hacker101.com,104.18.192.12,tcp,443,http,
55,ctf.hacker101.com,104.18.192.12,tcp,443,https,1
56,ctf.hacker101.com,104.18.192.12,tcp,8080,http,
57,ctf.hacker101.com,104.18.192.12,tcp,8443,unknown,1
58,ctf.hacker101.com,104.18.193.12,tcp,80,http,
59,ctf.hacker101.com,104.18.193.12,tcp,443,http,
60,ctf.hacker101.com,104.18.193.12,tcp,443,https,1
61,ctf.hacker101.com,104.18.193.12,tcp,8080,http,
62,ctf.hacker101.com,104.18.193.12,tcp,8443,unknown,1
63,api.hackerone.com,104.16.99.52,tcp,80,http,
64,api.hackerone.com,104.16.99.52,tcp,443,http,
65,api.hackerone.com,104.16.99.52,tcp,443,https,3
66,api.hackerone.com,104.16.99.52,tcp,8080,http,
67,api.hackerone.com,104.16.99.52,tcp,8443,unknown,3
68,api.hackerone.com,104.16.100.52,tcp,80,http,
69,api.hackerone.com,104.16.100.52,tcp,443,http,
70,api.hackerone.com,104.16.100.52,tcp,443,https,3
71,api.hackerone.com,104.16.100.52,tcp,8080,http,
72,api.hackerone.com,104.16.100.52,tcp,8443,unknown,3
