Host,Address,Transport,Port,Service,Component,Version
api.recarga.com,13.33.23.19,tcp,80,http,amazon/cloudfront,
api.recarga.com,13.33.23.19,tcp,443,http,amazon/cloudfront,
api.recarga.com,13.33.23.19,tcp,443,https,apache/apache,
api.recarga.com,13.33.23.106,tcp,80,http,amazon/cloudfront,
api.recarga.com,13.33.23.106,tcp,443,http,amazon/cloudfront,
api.recarga.com,13.33.23.106,tcp,443,https,apache/apache,
api.recarga.com,13.33.23.109,tcp,80,http,amazon/cloudfront,
api.recarga.com,13.33.23.109,tcp,443,http,amazon/cloudfront,
api.recarga.com,13.33.23.109,tcp,443,https,apache/apache,
api.recarga.com,13.33.23.246,tcp,80,http,amazon/cloudfront,
api.recarga.com,13.33.23.246,tcp,443,http,amazon/cloudfront,
api.recarga.com,13.33.23.246,tcp,443,https,apache/apache,
