Host,Address,Transport,Port,Service
api.plaid.com,18.213.137.56,tcp,443,http
api.plaid.com,18.213.137.56,tcp,443,https
api.plaid.com,35.168.147.135,tcp,443,http
api.plaid.com,35.168.147.135,tcp,443,https
api.plaid.com,52.202.131.139,tcp,443,http
api.plaid.com,52.202.131.139,tcp,443,https
cdn.plaid.com,13.33.23.12,tcp,80,http
cdn.plaid.com,13.33.23.12,tcp,443,http
cdn.plaid.com,13.33.23.12,tcp,443,https
cdn.plaid.com,13.33.23.77,tcp,80,http
cdn.plaid.com,13.33.23.77,tcp,443,http
cdn.plaid.com,13.33.23.77,tcp,443,https
cdn.plaid.com,13.33.23.123,tcp,80,http
cdn.plaid.com,13.33.23.123,tcp,443,http
cdn.plaid.com,13.33.23.123,tcp,443,https
cdn.plaid.com,13.33.23.138,tcp,80,http
cdn.plaid.com,13.33.23.138,tcp,443,http
cdn.plaid.com,13.33.23.138,tcp,443,https
dashboard.plaid.com,18.204.234.70,tcp,80,http
dashboard.plaid.com,18.204.234.70,tcp,443,https
dashboard.plaid.com,54.86.97.253,tcp,80,http
dashboard.plaid.com,54.86.97.253,tcp,443,https
demo.plaid.com,3.89.239.87,tcp,80,http
demo.plaid.com,3.89.239.87,tcp,443,https
demo.plaid.com,52.200.29.10,tcp,80,http
demo.plaid.com,52.200.29.10,tcp,443,https
link.plaid.com,34.202.105.222,tcp,443,http
link.plaid.com,34.202.105.222,tcp,443,https
link.plaid.com,54.210.166.79,tcp,443,http
link.plaid.com,54.210.166.79,tcp,443,https
my.plaid.com,34.231.219.139,tcp,80,http
my.plaid.com,34.231.219.139,tcp,443,https
my.plaid.com,52.202.148.155,tcp,80,http
my.plaid.com,52.202.148.155,tcp,443,https
production.plaid.com,34.203.72.234,tcp,443,http
production.plaid.com,34.203.72.234,tcp,443,https
production.plaid.com,52.45.211.202,tcp,443,http
production.plaid.com,52.45.211.202,tcp,443,https
production.plaid.com,52.202.203.67,tcp,443,http
production.plaid.com,52.202.203.67,tcp,443,https
