Host,Address,Transport,Port,Service,Component,Version
645892349820.vulnerbug.com,35.221.46.9,tcp,443,https,nginx/nginx,
d2evh2mef3r450.cloudfront.net,54.230.14.40,tcp,80,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,54.230.14.40,tcp,443,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,54.230.14.40,tcp,443,https,amazon/s3,
d2evh2mef3r450.cloudfront.net,54.230.14.126,tcp,80,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,54.230.14.126,tcp,443,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,54.230.14.126,tcp,443,https,amazon/s3,
d2evh2mef3r450.cloudfront.net,54.230.14.159,tcp,80,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,54.230.14.159,tcp,443,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,54.230.14.159,tcp,443,https,amazon/s3,
d2evh2mef3r450.cloudfront.net,54.230.14.230,tcp,80,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,54.230.14.230,tcp,443,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,54.230.14.230,tcp,443,https,amazon/s3,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:4e00:1f:948b:2d00:21,tcp,80,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:4e00:1f:948b:2d00:21,tcp,443,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:4e00:1f:948b:2d00:21,tcp,443,https,amazon/s3,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:5c00:1f:948b:2d00:21,tcp,80,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:5c00:1f:948b:2d00:21,tcp,443,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:5c00:1f:948b:2d00:21,tcp,443,https,amazon/s3,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:5600:1f:948b:2d00:21,tcp,80,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:5600:1f:948b:2d00:21,tcp,443,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:5600:1f:948b:2d00:21,tcp,443,https,amazon/s3,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:a600:1f:948b:2d00:21,tcp,80,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:a600:1f:948b:2d00:21,tcp,443,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:a600:1f:948b:2d00:21,tcp,443,https,amazon/s3,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:b600:1f:948b:2d00:21,tcp,80,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:b600:1f:948b:2d00:21,tcp,443,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:b600:1f:948b:2d00:21,tcp,443,https,amazon/s3,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:e00:1f:948b:2d00:21,tcp,80,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:e00:1f:948b:2d00:21,tcp,443,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:e00:1f:948b:2d00:21,tcp,443,https,amazon/s3,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:e600:1f:948b:2d00:21,tcp,80,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:e600:1f:948b:2d00:21,tcp,443,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:e600:1f:948b:2d00:21,tcp,443,https,amazon/s3,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:f200:1f:948b:2d00:21,tcp,80,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:f200:1f:948b:2d00:21,tcp,443,http,amazon/cloudfront,
d2evh2mef3r450.cloudfront.net,2600:9000:2047:f200:1f:948b:2d00:21,tcp,443,https,amazon/s3,
swipely-merchant-assets.s3.amazonaws.com,52.216.1.112,tcp,80,http,amazon/s3,
swipely-merchant-assets.s3.amazonaws.com,52.216.1.112,tcp,443,https,amazon/s3,
teamhelp.upserve.com,13.58.246.240,tcp,80,http,apache/apache,
teamhelp.upserve.com,13.58.246.240,tcp,80,http,php/php,7.0.16
teamhelp.upserve.com,13.58.246.240,tcp,443,http,apache/apache,
teamhelp.upserve.com,13.58.246.240,tcp,443,https,apache/apache,
teamhelp.upserve.com,13.58.246.240,tcp,443,https,php/php,7.0.16
theacademy.upserve.com,35.221.46.9,tcp,443,https,nginx/nginx,
