Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
18f.gsa.gov,143.204.181.76,tcp,443,https,0,/CN=18f.gsa.gov,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","Apr 11 17:31:05 2019 GMT","Jul 10 17:31:05 2019 GMT"
18f.gsa.gov,143.204.181.76,tcp,443,https,1,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","/O=Digital Signature Trust Co./CN=DST Root CA X3","Mar 17 16:40:46 2016 GMT","Mar 17 16:40:46 2021 GMT"
18f.gsa.gov,143.204.181.105,tcp,443,https,0,/CN=18f.gsa.gov,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","Apr 11 17:31:05 2019 GMT","Jul 10 17:31:05 2019 GMT"
18f.gsa.gov,143.204.181.105,tcp,443,https,1,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","/O=Digital Signature Trust Co./CN=DST Root CA X3","Mar 17 16:40:46 2016 GMT","Mar 17 16:40:46 2021 GMT"
18f.gsa.gov,143.204.181.119,tcp,443,https,0,/CN=18f.gsa.gov,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","Apr 11 17:31:05 2019 GMT","Jul 10 17:31:05 2019 GMT"
18f.gsa.gov,143.204.181.119,tcp,443,https,1,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","/O=Digital Signature Trust Co./CN=DST Root CA X3","Mar 17 16:40:46 2016 GMT","Mar 17 16:40:46 2021 GMT"
18f.gsa.gov,143.204.181.128,tcp,443,https,0,/CN=18f.gsa.gov,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","Apr 11 17:31:05 2019 GMT","Jul 10 17:31:05 2019 GMT"
18f.gsa.gov,143.204.181.128,tcp,443,https,1,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","/O=Digital Signature Trust Co./CN=DST Root CA X3","Mar 17 16:40:46 2016 GMT","Mar 17 16:40:46 2021 GMT"
18f.gsa.gov,2600:9000:20bb:3e00:10:28a:1800:93a1,tcp,443,https,0,/CN=18f.gsa.gov,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","Apr 11 17:31:05 2019 GMT","Jul 10 17:31:05 2019 GMT"
18f.gsa.gov,2600:9000:20bb:3e00:10:28a:1800:93a1,tcp,443,https,1,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","/O=Digital Signature Trust Co./CN=DST Root CA X3","Mar 17 16:40:46 2016 GMT","Mar 17 16:40:46 2021 GMT"
18f.gsa.gov,2600:9000:20bb:200:10:28a:1800:93a1,tcp,443,https,0,/CN=18f.gsa.gov,"/C=US/O=Let's Encrypt/CN=Let's Encrypt Authority X3","Apr 11 17:31:05 2019 GMT","Jul 10 17:31:05 2019 GMT"
